"PID", "Creator", "Object title", "Type", "Format", "Licence/Copyright", "when", "notBefore", "notAfter", "OCM", "Internal keywords", "Image number", "Image 1", "Image 2", "Image 3", "Image 4", "Image 5", "Image 6", "Image 7", "Image 8", "Image 9", "Image 10", "Image 11", "Image 12", "Image 13", "Image 14", "Image 15", "Image 16", "Image 17", "Image 18", "Image 19" 
"o:vase.190"," Karastoyanov, Ivan Anastasov or  Karastoyanov, Dimitar Anastasov "," Studio portrait of General Kaulbars with Russian and Bulgarian officers ","Photograph","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," 1881 "," 1885 "," 159; 150; 551; 550; 5310; 530; 700; 714; 710; 648; 640 ","  "," 2 "," vase.190-IMAGE.1.jpg "," vase.190-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.191"," Karastoyanov, Dimitar Anastasov "," Studio portrait of revolutionaries belonging to Hristo Botev's armed company (cheta) ","Photograph","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," 1886 "," "," 551; 550; 700; 714; 710; 669; 660; 5310; 530 ","  "," 2 "," vase.191-IMAGE.1.jpg "," vase.191-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.192"," Karastoyanov, Ivan Anastasov "," Russian officers and lecturers at the military school in Sofia ","Photograph","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," 1879 "," "," "," 290; 346; 340; 658; 650; 702; 700; 875; 870; 890; 551; 550; 648; 640 ","  "," 2 "," vase.192-IMAGE.1.jpg "," vase.192-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.193"," Karastoyanov, Ivan Anastasov or  Karastoyanov, Dimitar Anastasov "," Commemoration of the 25. Anniversary of the Liberation of Bulgaria ","Photograph","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," 1902 "," "," "," 290; 640; 714; 710; 720; 890 ","  "," 2 "," vase.193-IMAGE.1.jpg "," vase.193-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.194"," Karastoyanov, Ivan Anastasov or  Karastoyanov, Dimitar Anastasov "," General Danail Nikolaev and officers ","Photograph","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," "," 1919 "," 290; 551; 550; 640; 700; 710; 720 ","  "," 2 "," vase.194-IMAGE.1.jpg "," vase.194-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.195"," Karastoyanov, Ivan Anastasov "," Congress of opalchentsi-pobornitsi, Sofia 1921 ","Photograph","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," 1921 "," 1922 "," 159; 150; 290; 300; 368; 360; 669; 660; 720; 793; 790; 890 ","  "," 2 "," vase.195-IMAGE.1.jpg "," vase.195-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.196"," Karastoyanov, Ivan Anastasov "," Opalchentsi-pobornitsi (volunteer combatant) in front of the monument of Bulgaria's National Hero Vasil Levski ","Photograph","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," 1895 "," "," 156; 150; 793; 790; 729; 720; 890 ","  "," 2 "," vase.196-IMAGE.1.jpg "," vase.196-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.197"," Karastoyanov, Ivan Anastasov "," Studio portrait of Vasil Kutinchev ","Photograph","Cabinet","Creative Commons [CC BY-NC-ND 3.0]"," "," "," 1915 "," 700; 710; 720 ","  "," 2 "," vase.197-IMAGE.1.jpg "," vase.197-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.198"," Stojanović/Karastoyanov, Anastas Nikolov "," Studio portrait of an officer ","Photograph","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," "," 1879.06.19 "," 714; 710; 720; 570 ","  "," 2 "," vase.198-IMAGE.1.jpg "," vase.198-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.199"," Karastoyanov, Dimitar Anastasov "," Studio portrait of Konstantin Jireček ","Photograph","Carte de visite","Creative Commons [CC BY-NC-ND 3.0]"," "," "," 1884 "," 290; 551; 550; 560; 640; 810 ","  "," 2 "," vase.199-IMAGE.1.jpg "," vase.199-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2"," Karastoyanov, Ivan Anastasov "," Studio portrait of Nik. Manolov ","Photograph","Carte de visite","Creative Commons [CC BY-NC-ND 3.0]"," "," 1885 "," 1887 "," 290; 300; 369; 360; 570; 885; 880 ","  "," 2 "," vase.2-IMAGE.1.jpg "," vase.2-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.20"," Karastoyanov, Dimitar Anastasov "," Studio portrait of a man in a suit ","Photograph","Carte de visite","Creative Commons [CC BY-NC-ND 3.0]"," "," 1892 "," 1900 "," 290; 369; 360; 560 ","  "," 2 "," vase.20-IMAGE.1.jpg "," vase.20-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.200"," Karastoyanov, Dimitar Anastasov "," Studio portrait of Konstantin Jireček ","Photograph","Cabinet","Creative Commons [CC BY-NC-ND 3.0]"," "," "," 1884 "," 551; 550; 560; 640; 810 ","  "," 2 "," vase.200-IMAGE.1.jpg "," vase.200-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2000"," unknown "," Sarajevo. Predimaret ","Postcard","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," 1904.11.01 "," 1920 "," 290; 346; 340; 347; 363; 360; 880; 780; 562; 560 ","  "," 2 "," vase.2000-IMAGE.1.jpg "," vase.2000-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2001"," unknown "," Sarajevo / Muslim Quarter ","Postcard","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," 1912 "," "," "," 290; 340; 360; 554; 550; 560; 562 ","  "," 2 "," vase.2001-IMAGE.1.jpg "," vase.2001-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2002"," Kajon, Daniel A. "," Sarajevo / Street Scene ","Postcard","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," 1914 "," 1918 "," 290; 347; 340; 438; 430; 554; 550; 560; 562; 179; 170; 440 ","  "," 2 "," vase.2002-IMAGE.1.jpg "," vase.2002-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2003"," unknown "," Sarajevo = Street Scene ","Postcard","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," 1914 "," 1918 "," 290; 360; 363; 462; 460; 560; 231; 230 ","  "," 2 "," vase.2003-IMAGE.1.jpg "," vase.2003-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2004"," unknown "," SARAJEVO - Baščaršija - Market Place ","Postcard","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," 1914 "," 1916.09.30 "," 347; 340; 369; 360; 432; 430; 438; 462; 460; 554; 550; 560 ","  "," 2 "," vase.2004-IMAGE.1.jpg "," vase.2004-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2005"," unknown "," Sarajevo. Muslim Girls On The Street ","Postcard","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," 1890 "," 1904.10.31 "," 203; 200; 290; 342; 340; 360; 377; 370; 560; 562 ","  "," 2 "," vase.2005-IMAGE.1.jpg "," vase.2005-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2006"," unknown "," Sarajevo. Street Market In The Muslim Quarter ","Postcard","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," 1904.11.01 "," 1918 "," 290; 231; 230; 342; 340; 363; 360; 481; 480; 517; 510; 850; 560 ","  "," 2 "," vase.2006-IMAGE.1.jpg "," vase.2006-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2007"," unknown "," Sarajevo / Turkish Coffee - Breakfast ","Postcard","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," "," 1902 "," 130; 290; 272; 270; 510; 571; 570 ","  "," 2 "," vase.2007-IMAGE.1.jpg "," vase.2007-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2008"," unknown "," Drinking Black Coffee ","Postcard","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," 1904.11.01 "," 1918 "," 290; 415; 410; 554; 550; 562; 560 ","  "," 2 "," vase.2008-IMAGE.1.jpg "," vase.2008-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2009"," unknown "," Sarajevo - Washwomen ","Postcard","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," 1890 "," 1904.10.31 "," 130; 296; 290; 340; 360; 462; 460 ","  "," 2 "," vase.2009-IMAGE.1.jpg "," vase.2009-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.201"," Karastoyanov, Ivan Anastasov or  Karastoyanov, Dimitar Anastasov "," Studio portrait of Petar Genchev ","Photograph","Cabinet","Creative Commons [CC BY-NC-ND 3.0]"," "," 1880 "," 1885 "," 290; 560 ","  "," 2 "," vase.201-IMAGE.1.jpg "," vase.201-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2010"," unknown "," Sarajevo - Kovači Street ","Postcard","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," 1918 "," 1931 "," 290; 363; 360; 231; 230; 890; 560; 562; 780; 554; 550 ","  "," 2 "," vase.2010-IMAGE.1.jpg "," vase.2010-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2011"," unknown "," Sarajevo / At The Fountain ","Postcard","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," 1938 "," "," "," 290; 270; 312; 310; 462; 460; 857; 850; 890 ","  "," 2 "," vase.2011-IMAGE.1.jpg "," vase.2011-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2012"," unknown "," Turkish Women On The Street In Bosnia ","Postcard","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," 1904.11.01 "," 1916 "," 290; 360; 363; 554; 550; 560; 562; 780; 890 ","  "," 2 "," vase.2012-IMAGE.1.jpg "," vase.2012-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2013"," unknown "," Bosnia - Market Scene And Turkish Women ","Postcard","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," 1904.11.01 "," 1914 "," 290; 347; 340; 363; 360; 286; 280; 400; 432; 430; 438; 554; 550; 560; 562; 780 ","  "," 2 "," vase.2013-IMAGE.1.jpg "," vase.2013-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2014"," unknown "," Bosnia - Turkish Women On The Street ","Postcard","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," 1904.11.01 "," 1914 "," 290; 360; 363; 554; 550; 560; 562; 780; 850 ","  "," 2 "," vase.2014-IMAGE.1.jpg "," vase.2014-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2015"," Foto-Atelier Chicago "," Studio photograph of a woman with four children ","Real photo postcard","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," 1904.11.01 "," 1918 "," 290; 850; 890 ","  "," 2 "," vase.2015-IMAGE.1.jpg "," vase.2015-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2016"," unknown "," Herzegovinian Turkish Woman ","Postcard","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," 1914 "," "," "," 290; 890; 780 ","  "," 2 "," vase.2016-IMAGE.1.jpg "," vase.2016-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2017"," unknown "," Turkish Women On Horses ","Postcard","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," 1917 "," "," "," 290; 890; 480 ","  "," 2 "," vase.2017-IMAGE.1.jpg "," vase.2017-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2018"," unknown "," Christmas trees sale ","Postcard","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," 1904.11.01 "," 1914 "," 290; 890; 314; 310; 432; 430; 438 ","  "," 2 "," vase.2018-IMAGE.1.jpg "," vase.2018-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2019"," Topič, František "," Folk Costumes From Herzegovina ","Real photo postcard","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," 1897 "," 1904.10.31 "," 290; 292; 300; 480; 496; 490 ","  "," 2 "," vase.2019-IMAGE.1.jpg "," vase.2019-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.202"," Karastoyanov, Dimitar Anastasov "," Studio portrait of Lyubomir Miletich ","Photograph","Cabinet","Creative Commons [CC BY-NC-ND 3.0]"," "," 1892 "," 1900 "," 156; 150; 290; 560; 810 ","  "," 2 "," vase.202-IMAGE.1.jpg "," vase.202-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2020"," unknown "," Turk With His Wife ","Postcard","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," 1880 "," 1904.10.31 "," 890; 780; 290 ","  "," 2 "," vase.2020-IMAGE.1.jpg "," vase.2020-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2021"," Topič, František "," Bosnia - Peasant Woman ","Real photo postcard","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," 1897 "," 1904.10.31 "," 290; 562; 560; 462; 460 ","  "," 2 "," vase.2021-IMAGE.1.jpg "," vase.2021-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2022"," Hoiger, Anton "," Portrait of the Serbian Jeftanović family ","Photograph","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," 1895 "," 1918 "," 290; 590; 593; 561; 560 ","  "," 2 "," vase.2022-IMAGE.1.jpg "," vase.2022-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2023"," Schädler, Anton "," Studio portrait of Mara Jeftanović ","Photograph","Cabinet","Creative Commons [CC BY-NC-ND 3.0]"," "," 1879 "," 1912 "," 290; 562; 560; 300 ","  "," 2 "," vase.2023-IMAGE.1.jpg "," vase.2023-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2024"," Schädler, Anton "," Studio portrait of Draginja Jeftanović ","Photograph","Promenade","Creative Commons [CC BY-NC-ND 3.0]"," "," 1890 "," 1910 "," 290; 562; 560; 300 ","  "," 2 "," vase.2024-IMAGE.1.jpg "," vase.2024-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2025"," unknown "," Market scene ","Photograph","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," 1918 "," 1950 "," 290; 890; 560; 280; 347; 340; 432; 430; 462; 460 ","  "," 2 "," vase.2025-IMAGE.1.jpg "," vase.2025-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2026"," unknown "," Street scene in Baščaršija ","Real photo postcard","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," 1904.11.01 "," "," 290; 340; 363; 360; 369; 571; 570 ","  "," 2 "," vase.2026-IMAGE.1.jpg "," vase.2026-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2027"," unknown "," The kitchen of the Gazi Husrev Bey's Madrassa ","Photograph","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," 1918 "," "," 290; 252; 250; 346; 340; 352; 350; 356; 416; 410; 511; 510 ","  "," 2 "," vase.2027-IMAGE.1.jpg "," vase.2027-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2028"," unknown "," Sarajevo / Market Scene ","Postcard","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," 1937 "," "," "," 290; 432; 430; 462; 460; 560; 410; 347; 340 ","  "," 2 "," vase.2028-IMAGE.1.jpg "," vase.2028-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2029"," unknown "," Workspace at Baščaršija ","Real photo postcard","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," 1918 "," 1939 "," 290; 462; 460; 560; 415; 410; 520 ","  "," 2 "," vase.2029-IMAGE.1.jpg "," vase.2029-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.203"," Karastoyanov, Ivan Anastasov or  Karastoyanov, Dimitar Anastasov "," Studio portrait of Arnold Remlingen ","Photograph","Cabinet","Creative Commons [CC BY-NC-ND 3.0]"," "," 1880 "," 1885 "," 551; 550; 710; 700; 720; 640 ","  "," 2 "," vase.203-IMAGE.1.jpg "," vase.203-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2030"," unknown "," Sarajevo / Bazar ","Postcard","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," 1939 "," "," "," 363; 360; 432; 430; 462; 460; 554; 550; 560; 562; 780; 890 ","  "," 2 "," vase.2030-IMAGE.1.jpg "," vase.2030-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2031"," unknown "," Interior of kiraethane, club and reading room for Muslims ","Photograph","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," 1901 "," "," "," 290; 520; 560; 554; 550; 352; 350; 517; 510; 562; 570; 890 ","  "," 2 "," vase.2031-IMAGE.1.jpg "," vase.2031-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2032"," unknown "," Market scene ","Postcard","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," 1938 "," "," "," 290; 890; 560; 280; 347; 340; 432; 430; 462; 460 ","  "," 2 "," vase.2032-IMAGE.1.jpg "," vase.2032-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2033"," Halačević, Nusret "," Market scene ","Photograph","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," 1918 "," 1950 "," 280; 290; 347; 340; 432; 430; 438; 562; 560; 890 ","  "," 2 "," vase.2033-IMAGE.1.jpg "," vase.2033-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2034"," Foto Rekord "," Portrait of a man with a horse at the livestock market ","Photograph","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," 1918 "," "," 290; 438; 430; 560; 231; 230 ","  "," 2 "," vase.2034-IMAGE.1.jpg "," vase.2034-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2035"," unknown "," Herzegovinian women's costume ","Diapositive","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," "," 1916 "," 290; 300; 554; 550; 560; 562 ","  "," 1 "," vase.2035-IMAGE.1.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2036"," unknown "," Herzegovinian (Croatian) costumes ","Diapositive","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," "," 1916 "," 290; 300; 850 ","  "," 1 "," vase.2036-IMAGE.1.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2037"," unknown "," Male Herzegovinian folk costume ","Diapositive","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," "," 1916 "," 290; 554; 550; 561; 560; 562 ","  "," 1 "," vase.2037-IMAGE.1.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2038"," unknown "," Cookout in Northwestern Herzegovina ","Diapositive","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," "," 1917 "," 260; 290; 342; 340; 415; 410; 590; 850 ","  "," 1 "," vase.2038-IMAGE.1.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2039"," unknown "," Women's folk costumes ","Diapositive","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," "," 1950 "," 290; 300 ","  "," 1 "," vase.2039-IMAGE.1.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.204"," Karastoyanov, Ivan Anastasov or  Karastoyanov, Dimitar Anastasov "," Studio portrait of Konstantin Rudanovski ","Photograph","Cabinet","Creative Commons [CC BY-NC-ND 3.0]"," "," 1880 "," 1881.09.29 "," 156; 150; 551; 550; 570; 710; 720; 657; 650; 740 ","  "," 2 "," vase.204-IMAGE.1.jpg "," vase.204-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2040"," unknown "," Folk costumes from Central Bosnia ","Diapositive","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," "," 1950 "," 290; 300 ","  "," 1 "," vase.2040-IMAGE.1.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2041"," unknown "," Costume of a celibate Muslim towngirl ","Diapositive","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," "," 1950 "," 290; 300; 562; 560; 554; 550 ","  "," 1 "," vase.2041-IMAGE.1.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2042"," unknown "," Two women with a baby in the wintertime on the street ","Diapositive","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," "," 1950 "," 290; 346; 340; 363; 360; 560; 850 ","  "," 1 "," vase.2042-IMAGE.1.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2043"," unknown "," Coppersmith at work ","Diapositive","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," "," 1950 "," 326; 320; 347; 340; 416; 410; 462; 460; 890 ","  "," 1 "," vase.2043-IMAGE.1.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2044"," unknown "," At the weaving loom ","Diapositive","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," "," 1950 "," 286; 280; 288; 291; 290; 462; 460; 850 ","  "," 1 "," vase.2044-IMAGE.1.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2045"," unknown "," Woman weaving ","Diapositive","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," "," 1950 "," 286; 280; 288; 290; 462; 460 ","  "," 1 "," vase.2045-IMAGE.1.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2046"," Topič, František "," Portrait of a man ","Photograph","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," 1892 "," 1916 "," 290; 890; 562; 560; 300; 411; 410 ","  "," 1 "," vase.2046-IMAGE.1.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2047"," Topič, František "," Group portrait of Rom women and children ","Photograph","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," 1904 "," "," "," 290; 850; 593; 590; 562; 560 ","  "," 1 "," vase.2047-IMAGE.1.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2048"," Topič, František "," Urban dress for unmarried girls ","Photograph","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," 1904 "," "," "," 290; 300; 554; 550; 560; 562; 890 ","  "," 1 "," vase.2048-IMAGE.1.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.2049"," Topič, František "," Portrait of a young woman ","Photograph","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," 1904 "," "," "," 290; 562; 560 ","  "," 2 "," vase.2049-IMAGE.1.jpg "," vase.2049-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
