"PID", "Creator", "Object title", "Type", "Format", "Licence/Copyright", "when", "notBefore", "notAfter", "OCM", "Internal keywords", "Image number", "Image 1", "Image 2", "Image 3", "Image 4", "Image 5", "Image 6", "Image 7", "Image 8", "Image 9", "Image 10", "Image 11", "Image 12", "Image 13", "Image 14", "Image 15", "Image 16", "Image 17", "Image 18", "Image 19" 
"o:vase.1069"," Jovanović, Milan "," Studio portrait of Ana Genčić with her son ","Photograph","Cabinet","Creative Commons [CC BY-NC-ND 3.0]"," "," 1896 "," 1903 "," 290; 300; 460; 551; 550; 554; 579; 570; 590; 660; 668; 740; 751; 750; 850; 890 ","  "," 2 "," vase.1069-IMAGE.1.jpg "," vase.1069-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.107"," Karastoyanov, Ivan Anastasov "," Studio portrait of a man in an uniform ","Photograph","Imperial","Creative Commons [CC BY-NC-ND 3.0]"," "," 1888 "," 1912 "," 560; 565; 590; 600; 714; 710 ","  "," 2 "," vase.107-IMAGE.1.jpg "," vase.107-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1070"," Jovanović, Milan "," Young woman in traditional Serbian town attire ","Photograph","Cabinet","Creative Commons [CC BY-NC-ND 3.0]"," "," 1896 "," 1903 "," 186; 180; 292; 290; 300; 560; 890 ","  "," 2 "," vase.1070-IMAGE.1.jpg "," vase.1070-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1071"," Jovanović, Milan "," Studio portrait of Katarina Milovuk ","Photograph","Cabinet","Creative Commons [CC BY-NC-ND 3.0]"," 1895.02.17 "," "," "," 184; 180; 204; 200; 212; 210; 214; 290; 300; 462; 460; 551; 550; 554; 560; 660; 741; 740; 870; 890 ","  "," 2 "," vase.1071-IMAGE.1.jpg "," vase.1071-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1072"," Jovanović, Milan "," Studio portrait of a couple in town attire ","Photograph","Boudoir","Creative Commons [CC BY-NC-ND 3.0]"," "," 1898 "," 1900 "," 290; 300; 580; 590; 890 ","  "," 2 "," vase.1072-IMAGE.1.jpg "," vase.1072-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1073"," Jovanović, Milan "," Studio portrait of a woman in traditional Serbian town attire ","Photograph","Boudoir","Creative Commons [CC BY-NC-ND 3.0]"," "," 1898 "," 1900 "," 186; 180; 292; 290; 300; 560; 890 ","  "," 2 "," vase.1073-IMAGE.1.jpg "," vase.1073-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1074"," Jovanović, Milan "," Wedding photograph ","Photograph","Cabinet","Creative Commons [CC BY-NC-ND 3.0]"," "," 1896 "," 1903 "," 292; 290; 300; 580; 585; 600; 777; 770; 788; 780; 890 ","  "," 2 "," vase.1074-IMAGE.1.jpg "," vase.1074-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1075"," Jovanović, Milan "," Wedding photograph ","Photograph","Cabinet","Creative Commons [CC BY-NC-ND 3.0]"," "," 1896 "," 1903 "," 292; 290; 300; 580; 585; 600; 777; 770; 788; 780; 890 ","  "," 2 "," vase.1075-IMAGE.1.jpg "," vase.1075-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1076"," Jovanović, Milan "," Studio portrait of children ","Photograph","Cabinet","Creative Commons [CC BY-NC-ND 3.0]"," "," 1903 "," "," 292; 290; 300; 590; 850 ","  "," 1 "," vase.1076-IMAGE.1.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1077"," Jovanović, Milan "," Studio portrait of children ","Photograph","Cabinet","Creative Commons [CC BY-NC-ND 3.0]"," "," 1903 "," 1904 "," 292; 290; 300; 590; 850 ","  "," 2 "," vase.1077-IMAGE.1.jpg "," vase.1077-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
