"PID", "Creator", "Object title", "Type", "Format", "Licence/Copyright", "when", "notBefore", "notAfter", "OCM", "Internal keywords", "Image number", "Image 1", "Image 2", "Image 3", "Image 4", "Image 5", "Image 6", "Image 7", "Image 8", "Image 9", "Image 10", "Image 11", "Image 12", "Image 13", "Image 14", "Image 15", "Image 16", "Image 17", "Image 18" 
"o:vismig.m.2012.6","Ritopečki, Jovan"," The teacher is bending over a student and touches his hair. "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S013; S031 "," 1 "," 2012_img49.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2012.7","Ritopečki, Jovan"," The teacher is standing next to a girl, who reads from a book. "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S013; S031 "," 3 "," 2012_img50.jpg "," 2012_img51.jpg "," 2012_img52.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2013.1","Ritopečki, Jovan"," A group of musicians is playing to an audience in a hall. "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S019; S020; S038 "," 5 "," 2013_img8.jpg "," 2013_img9.jpg "," 2013_img10.jpg "," 2013_img11.jpg "," 2013_img12.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2013.2","Ritopečki, Jovan"," Portray of a railway worker "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S019; S020; S038 "," 1 "," 2013_img13.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2013.3","Ritopečki, Jovan"," Farewell scene on the platform. "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S019; S020; S038 "," 3 "," 2013_img14.jpg "," 2013_img15.jpg "," 2013_img16.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2014.1","Ritopečki, Jovan"," Family portrait "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S007; S013; S025 "," 2 "," 2014_img1.jpg "," 2014_img2.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2014.2","Ritopečki, Jovan"," Baby portraits "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S013 "," 3 "," 2014_img3.jpg "," 2014_img4.jpg "," 2014_img5.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2014.3","Ritopečki, Jovan"," Mother with child "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S009; S013; S025 "," 4 "," 2014_img6.jpg "," 2014_img7.jpg "," 2014_img8.jpg "," 2014_img9.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2014.4","Ritopečki, Jovan"," Man with horses in horse barn "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S002; S018 "," 6 "," 2014_img10.jpg "," 2014_img11.jpg "," 2014_img12.jpg "," 2014_img13.jpg "," 2014_img14.jpg "," 2014_img15.jpg "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2014.5","Ritopečki, Jovan"," Man is brushing a horse "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S002; S018 "," 1 "," 2014_img16.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2015.1","Ritopečki, Jovan"," A group of people is standing outside talking "," Photographic negative ","  ",NL Jovan Ritopečki"," 1971 "," "," ","  "," S037 "," 4 "," 2015_img1.jpg "," 2015_img2.jpg "," 2015_img3.jpg "," 2015_img4.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2015.10","Ritopečki, Jovan"," View of guests present at the blessing of the house "," Photographic negative ","  ",NL Jovan Ritopečki"," 1971 "," "," ","  "," S037 "," 3 "," 2015_img35.jpg "," 2015_img36.jpg "," 2015_img37.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2015.11","Ritopečki, Jovan"," Young woman poses in the entrace of her apartment "," Photographic negative ","  ",NL Jovan Ritopečki"," 1971 "," "," ","  "," S037 "," 2 "," 2015_img38.jpg "," 2015_img39.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2015.12","Ritopečki, Jovan"," Woman and man in conversation "," Photographic negative ","  ",NL Jovan Ritopečki"," 1971 "," "," ","  "," S037 "," 3 "," 2015_img40.jpg "," 2015_img41.jpg "," 2015_img42.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2015.13","Ritopečki, Jovan"," Three people sit around a table in a room and talk "," Photographic negative ","  ",NL Jovan Ritopečki"," 1971 "," "," ","  "," S025; S037 "," 2 "," 2015_img43.jpg "," 2015_img44.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2015.14","Ritopečki, Jovan"," Young woman arranges flowers in a vase on the table "," Photographic negative ","  ",NL Jovan Ritopečki"," 1971 "," "," ","  "," S025; S037 "," 2 "," 2015_img45.jpg "," 2015_img46.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2015.15","Ritopečki, Jovan"," Young woman stands in front of the kitchenette and is stirring something in a kitchen vessel "," Photographic negative ","  ",NL Jovan Ritopečki"," 1971 "," "," ","  "," S025; S037 "," 2 "," 2015_img47.jpg "," 2015_img48.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2015.2","Ritopečki, Jovan"," Different views of a rundown housing complex "," Photographic negative ","  ",NL Jovan Ritopečki"," 1971 "," "," ","  "," S037 "," 7 "," 2015_img5.jpg "," 2015_img6.jpg "," 2015_img7.jpg "," 2015_img8.jpg "," 2015_img9.jpg "," 2015_img10.jpg "," 2015_img11.jpg "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2015.3","Ritopečki, Jovan"," People standing in front of a four story building "," Photographic negative ","  ",NL Jovan Ritopečki"," 1971 "," "," ","  "," S037 "," 1 "," 2015_img12.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2015.4","Ritopečki, Jovan"," Front view of a four story building "," Photographic negative ","  ",NL Jovan Ritopečki"," 1971 "," "," ","  "," S037 "," 3 "," 2015_img13.jpg "," 2015_img14.jpg "," 2015_img15.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2015.5","Ritopečki, Jovan"," Man is speaking to an audience "," Photographic negative ","  ",NL Jovan Ritopečki"," 1971 "," "," ","  "," S037 "," 4 "," 2015_img16.jpg "," 2015_img17.jpg "," 2015_img18.jpg "," 2015_img19.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2015.6","Ritopečki, Jovan"," Front view of a four story building and an assembly "," Photographic negative ","  ",NL Jovan Ritopečki"," 1971 "," "," ","  "," S037 "," 2 "," 2015_img20.jpg "," 2015_img21.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2015.7","Ritopečki, Jovan"," Man is speaking to an audience "," Photographic negative ","  ",NL Jovan Ritopečki"," 1971 "," "," ","  "," S037 "," 2 "," 2015_img22.jpg "," 2015_img23.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2015.8","Ritopečki, Jovan"," Priest is standing in front of the audience "," Photographic negative ","  ",NL Jovan Ritopečki"," 1971 "," "," ","  "," S037 "," 2 "," 2015_img24.jpg "," 2015_img25.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2015.9","Ritopečki, Jovan"," House blessing "," Photographic negative ","  ",NL Jovan Ritopečki"," 1971 "," "," ","  "," S037 "," 9 "," 2015_img26.jpg "," 2015_img27.jpg "," 2015_img28.jpg "," 2015_img29.jpg "," 2015_img30.jpg "," 2015_img31.jpg "," 2015_img32.jpg "," 2015_img33.jpg "," 2015_img34.jpg "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2016.1","Ritopečki, Jovan"," A group of people is standing outside a building "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S003; S021 "," 1 "," 2016_img1.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2016.2","Ritopečki, Jovan"," A group of people is entering a building "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S003 "," 4 "," 2016_img2.jpg "," 2016_img3.jpg "," 2016_img4.jpg "," 2016_img5.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2016.3","Ritopečki, Jovan"," A group of people is waiting at a counter "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S003 "," 2 "," 2016_img6.jpg "," 2016_img7.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
